,Unnamed: 0,CheckingAccountBalance,DebtsPaid,SavingsAccountBalance,CurrentOpenLoanApplications,LoanPayoffPeriodInMonths,LoanReason,RequestedAmount,InterestRate,Co-Applicant,YearsAtCurrentEmployer,YearsInCurrentResidence,Age,RentOrOwnHome,TypeOfCurrentEmployment,NumberOfDependantsIncludingSelf,WasTheLoanApproved
0,489,debt,paid,some,1,12,goods,701,4,none,4,2,40,owned,unskill,1,Y
1,368,some,paid,some,1,12,auto,685,2,none,7,3,25,owned,unskill,1,N
2,262,none,delayed,some,2,24,goods,1851,4,guarant,7,2,33,owned,skilled,1,Y
3,182,none,paid,medium,1,24,auto,1474,4,none,1,3,33,owned,skilled,1,Y
4,286,none,paid,high,1,24,goods,3235,3,none,10+,2,26,owned,self,1,Y
5,218,none,paid,none,1,10,auto,1309,4,guarant,4,4,27,owned,unskill,1,N
6,122,debt,paid,some,1,18,goods,1940,3,co-app,1,4,36,free,self,1,Y
7,257,none,delayed,some,2,24,goods,1585,4,none,7,3,40,owned,skilled,1,Y
8,146,none,paid,none,1,12,auto,3527,2,none,1,3,45,owned,self,2,Y
9,417,none,paid,some,2,12,auto,1101,3,none,4,2,27,owned,skilled,1,Y
10,119,debt,paid,some,1,15,busin,806,4,none,4,4,22,owned,unskill,1,Y
11,219,none,paid,none,1,15,goods,1979,4,none,10+,2,35,owned,skilled,1,Y
12,336,none,paid,some,2,36,goods,10974,4,none,0,2,26,owned,self,1,N
13,39,debt,delayed,some,2,42,goods,4370,3,none,7,2,26,owned,skilled,2,N
14,9,none,delayed,none,2,48,busin,7629,4,none,10+,2,46,owned,self,2,Y
15,509,none,delayed,none,1,12,busin,1264,4,none,10+,4,57,rent,unskill,1,Y
16,228,some,paid,some,1,8,goods,1414,4,guarant,4,2,33,owned,skilled,1,Y
17,407,debt,paid,none,2,21,auto,1647,4,none,4,2,40,owned,unskill,2,N
18,42,none,delayed,some,3,9,auto,2134,4,none,4,4,48,owned,skilled,1,Y
19,63,none,delayed,some,2,18,auto,1055,4,none,1,1,30,owned,skilled,1,Y
20,417,none,paid,some,2,12,auto,1101,3,none,4,2,27,owned,skilled,1,Y
21,133,some,delayed,some,2,21,busin,3652,2,none,7,3,27,owned,skilled,1,Y
22,366,some,paid,none,1,21,goods,3976,2,none,7,3,35,owned,skilled,1,Y
23,90,debt,paid,some,1,48,busin,7685,2,guarant,7,4,37,rent,skilled,1,N
24,440,some,delayed,medium,1,24,auto,3878,4,none,1,2,37,owned,skilled,1,Y
25,146,none,paid,none,1,12,auto,3527,2,none,1,3,45,owned,self,2,Y
26,317,none,paid,none,1,21,auto,2476,4,none,10+,4,46,owned,self,1,Y
27,487,none,paid,some,3,18,goods,3422,4,none,10+,4,47,owned,skilled,2,Y
28,395,none,delayed,medium,2,21,goods,1591,4,none,7,3,34,owned,self,1,Y
29,158,some,paid,high,2,48,auto,8358,1,none,1,1,30,owned,skilled,1,Y
30,236,debt,delayed,some,2,60,busin,6836,3,none,10+,4,63,owned,skilled,1,N
31,63,none,delayed,some,2,18,auto,1055,4,none,1,1,30,owned,skilled,1,Y
32,373,some,paid,v.high,1,12,auto,1318,4,none,10+,4,54,owned,skilled,1,Y
33,451,none,delayed,some,2,36,goods,9566,2,none,4,2,31,owned,skilled,1,Y
34,389,some,paid,some,1,60,school,6288,4,none,4,4,42,free,skilled,1,N
35,208,debt,paid,some,1,12,goods,1498,4,none,4,1,23,owned,skilled,1,Y
36,82,debt,paid,high,1,12,goods,1680,3,none,10+,1,35,owned,skilled,1,Y
37,351,none,paid,some,1,18,goods,1533,4,co-app,1,1,43,owned,unskill,2,N
38,466,some,paid,high,1,18,goods,3213,1,none,1,3,25,rent,skilled,1,Y
39,348,debt,delayed,some,2,12,auto,2122,3,none,4,2,39,rent,unskill,2,Y
40,343,some,delayed,none,2,24,busin,2825,4,none,7,3,34,owned,skilled,2,Y
41,344,none,delayed,some,2,33,busin,2764,2,none,4,2,26,owned,skilled,1,Y
42,391,debt,paid,medium,1,12,goods,727,4,none,1,3,33,owned,unskill,1,N
43,19,debt,paid,some,1,15,auto,2511,1,none,0,4,23,rent,skilled,1,Y
44,445,some,paid,some,1,9,goods,1206,4,none,10+,4,25,owned,skilled,1,Y
45,405,debt,paid,none,1,24,auto,2812,2,none,10+,4,26,rent,skilled,1,Y
46,242,debt,paid,none,1,24,goods,2996,2,none,4,4,20,owned,skilled,1,N
47,197,some,paid,none,1,30,goods,2991,2,none,10+,4,25,owned,skilled,1,Y
48,196,some,paid,some,1,36,goods,4795,4,none,1,1,30,owned,self,1,Y
49,207,none,paid,none,1,15,goods,2186,1,none,7,4,33,rent,unskill,1,Y
50,4,none,delayed,some,2,36,auto,6614,4,none,10+,4,34,owned,self,1,Y
51,140,some,paid,medium,2,21,busin,2767,4,none,10+,2,61,rent,unskill,1,N
52,466,some,paid,high,1,18,goods,3213,1,none,1,3,25,rent,skilled,1,Y
53,398,some,paid,medium,1,9,auto,1437,2,none,7,3,29,owned,skilled,1,N
54,197,some,paid,none,1,30,goods,2991,2,none,10+,4,25,owned,skilled,1,Y
55,350,some,delayed,v.high,2,15,repairs,1512,3,none,4,3,61,owned,skilled,1,N
56,202,none,delayed,some,2,11,auto,7228,1,none,4,4,39,owned,unskill,1,Y
57,304,high,paid,some,1,12,goods,1881,2,none,4,2,44,rent,unskill,1,Y
58,174,none,delayed,some,2,18,goods,2238,2,none,4,1,25,owned,skilled,1,Y
59,89,none,delayed,v.high,2,36,auto,5711,4,none,10+,2,38,owned,self,1,Y
60,375,some,paid,medium,1,6,auto,931,1,none,1,1,32,owned,unskill,1,N
61,29,none,paid,some,1,18,goods,2515,3,none,4,4,43,owned,skilled,1,Y
62,134,none,paid,some,1,12,school,719,4,none,10+,4,41,owned,unskill,2,N
63,38,some,paid,v.high,1,18,busin,1941,4,none,4,2,35,owned,unskill,1,Y
64,139,some,delayed,none,2,24,busin,4712,4,none,4,2,37,owned,self,1,Y
65,453,none,paid,none,2,24,goods,5943,1,none,1,1,44,owned,skilled,1,N
66,236,debt,delayed,some,2,60,busin,6836,3,none,10+,4,63,owned,skilled,1,N
67,348,debt,delayed,some,2,12,auto,2122,3,none,4,2,39,rent,unskill,2,Y
68,436,debt,delayed,none,2,39,goods,14179,4,none,7,4,30,owned,self,1,Y
69,235,some,delayed,some,1,36,goods,2337,4,none,10+,4,36,owned,skilled,1,Y
70,54,debt,delayed,some,2,42,repairs,3394,4,co-app,0,4,65,owned,none,1,Y
71,221,none,paid,some,1,12,goods,3077,2,none,4,4,52,owned,skilled,1,Y
72,201,debt,delayed,some,2,24,auto,6615,2,none,0,4,75,free,self,1,Y
73,432,none,paid,some,1,6,goods,1595,3,none,7,2,51,owned,skilled,2,Y
74,8,none,delayed,medium,2,24,goods,4151,2,none,4,3,35,owned,skilled,1,Y
75,204,none,delayed,some,2,24,school,1597,4,none,10+,4,54,free,skilled,2,Y
76,410,high,delayed,high,3,12,auto,939,4,none,7,2,28,owned,skilled,1,N
77,37,none,paid,high,1,21,auto,2782,1,none,7,2,31,owned,self,1,Y
78,207,none,paid,none,1,15,goods,2186,1,none,7,4,33,rent,unskill,1,Y
79,252,none,delayed,some,2,24,auto,2346,4,none,7,3,35,owned,skilled,1,Y
80,71,debt,delayed,some,2,12,auto,2171,4,none,4,4,38,owned,unskill,1,Y
81,266,none,paid,some,1,24,goods,1413,4,none,4,2,28,owned,skilled,1,Y
82,159,none,delayed,none,2,24,auto,2197,4,none,7,4,43,owned,skilled,2,Y
83,149,some,delayed,none,2,20,auto,7057,3,none,7,4,36,rent,self,2,Y
84,501,some,delayed,high,2,27,goods,2520,4,none,4,2,23,owned,unskill,1,N
85,121,high,paid,some,1,10,goods,1275,4,none,1,2,23,owned,skilled,1,Y
86,104,none,delayed,medium,2,6,goods,1237,1,none,4,1,27,owned,skilled,1,Y
87,9,none,delayed,none,2,48,busin,7629,4,none,10+,2,46,owned,self,2,Y
88,80,none,delayed,none,2,18,goods,1169,4,none,4,3,29,owned,skilled,1,Y
89,47,debt,paid,some,1,12,goods,1620,2,co-app,4,3,30,owned,skilled,1,Y
90,275,none,delayed,medium,1,15,school,1532,4,none,4,3,31,owned,skilled,1,Y
91,512,none,delayed,some,2,6,goods,1382,1,none,4,1,28,owned,skilled,1,Y
92,129,some,paid,some,1,9,goods,918,4,none,4,1,30,owned,skilled,1,N
93,49,none,paid,high,1,39,auto,2569,4,none,4,4,24,owned,skilled,1,Y
94,465,none,paid,some,1,12,auto,640,4,none,4,2,49,owned,unskill,1,Y
95,32,none,delayed,none,2,6,goods,1221,1,none,4,2,27,owned,skilled,1,Y
96,266,none,paid,some,1,24,goods,1413,4,none,4,2,28,owned,skilled,1,Y
97,351,none,paid,some,1,18,goods,1533,4,co-app,1,1,43,owned,unskill,2,N
98,165,debt,delayed,some,2,12,auto,1526,4,none,10+,4,66,free,self,1,Y
99,186,some,delayed,v.high,2,21,goods,2745,3,none,7,2,32,owned,skilled,1,Y
100,372,some,paid,some,1,9,auto,5129,2,none,10+,4,74,free,self,2,N
101,89,none,delayed,v.high,2,36,auto,5711,4,none,10+,2,38,owned,self,1,Y
102,252,none,delayed,some,2,24,auto,2346,4,none,7,3,35,owned,skilled,1,Y
103,41,some,paid,medium,1,18,busin,2622,4,none,4,4,34,owned,skilled,1,Y
104,292,high,paid,some,1,15,goods,2327,2,none,1,3,25,owned,unskill,1,N
105,468,none,paid,high,1,24,goods,3062,4,none,10+,3,32,rent,skilled,1,Y
